loss,best_val_dice,val_iou_at_best_dice,best_epoch
bce,0.9931535124778748,0.9864158431688944,10
bce_dice,0.9914343357086182,0.9830295443534851,10
dice,0.9858785072962443,0.9722868204116821,10
