condition,otsu_dice,otsu_iou,threshold,n_objects,mean_area
original,0.9818887451493568,0.9644218551483849,29.0,8,194.75
blur,0.7357314148744429,0.5819423368899111,16.0,7,376.57142857142856
low_contrast,0.9837345478209585,0.9679897567242004,13.0,8,192.5
